rel_path,strate,chapitre_numero,chapitre_titre,type_document,orig_size,new_size,gain_pct,orig_pages,new_pages,orig_words,new_words,status,note
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/02 - Exercices/Exercices - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Exercices,147560,42243,71.4,2,2,608,608,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/03 - Corrections/Corrigé - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Corrigé,163465,57099,65.1,4,4,1318,1318,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/04 - Révisions/Révision - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Révision,138684,46998,66.1,2,2,732,732,OK,
02 - Activités Géométriques/Chap 05 - Les angles/01 - Cours/Cours - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Cours,171550,51127,70.2,4,4,855,855,OK,
02 - Activités Géométriques/Chap 05 - Les angles/02 - Exercices/Exercices - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Exercices,158542,40389,74.5,3,3,526,526,OK,
02 - Activités Géométriques/Chap 05 - Les angles/03 - Corrections/Corrigé - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Corrigé,173356,53799,69.0,4,4,1101,1101,OK,
02 - Activités Géométriques/Chap 05 - Les angles/04 - Révisions/Révision - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Révision,164662,47105,71.4,2,2,694,694,OK,
02 - Activités Géométriques/Chap 06 - Les polygones/01 - Cours/Cours - Chap 06 - Les polygones.pdf,Géométrique,06,Les polygones,Cours,166900,61023,63.4,6,6,1544,1544,OK,
02 - Activités Géométriques/Chap 06 - Les polygones/02 - Exercices/Exercices - Chap 06 - Les polygones.pdf,Géométrique,06,Les polygones,Exercices,150380,43044,71.4,3,3,569,569,OK,
02 - Activités Géométriques/Chap 06 - Les polygones/03 - Corrections/Corrigé - Chap 06 - Les polygones.pdf,Géométrique,06,Les polygones,Corrigé,157339,51331,67.4,4,4,1106,1106,OK,
02 - Activités Géométriques/Chap 06 - Les polygones/04 - Révisions/Révision - Chap 06 - Les polygones.pdf,Géométrique,06,Les polygones,Révision,131357,43719,66.7,2,2,801,801,OK,
02 - Activités Géométriques/Chap 07 - Les aires/01 - Cours/Cours - Chap 07 - Les aires.pdf,Géométrique,07,Les aires,Cours,165178,50254,69.6,3,3,752,752,OK,
02 - Activités Géométriques/Chap 07 - Les aires/02 - Exercices/Exercices - Chap 07 - Les aires.pdf,Géométrique,07,Les aires,Exercices,148487,39983,73.1,2,2,487,487,OK,
02 - Activités Géométriques/Chap 07 - Les aires/03 - Corrections/Corrigé - Chap 07 - Les aires.pdf,Géométrique,07,Les aires,Corrigé,174178,49263,71.7,3,3,877,877,OK,
02 - Activités Géométriques/Chap 07 - Les aires/04 - Révisions/Révision - Chap 07 - Les aires.pdf,Géométrique,07,Les aires,Révision,153565,44110,71.3,2,2,629,629,OK,
02 - Activités Géométriques/Chap 08 - La géométrie dans l'espace/01 - Cours/Cours - Chap 08 - La géométrie dans l'espace.pdf,Géométrique,08,La géométrie dans l'espace,Cours,180984,57072,68.5,4,4,1068,1068,OK,
02 - Activités Géométriques/Chap 08 - La géométrie dans l'espace/02 - Exercices/Exercices - Chap 08 - La géométrie dans l'espace.pdf,Géométrique,08,La géométrie dans l'espace,Exercices,141241,38901,72.5,2,2,414,414,OK,
02 - Activités Géométriques/Chap 08 - La géométrie dans l'espace/03 - Corrections/Corrigé - Chap 08 - La géométrie dans l'espace.pdf,Géométrique,08,La géométrie dans l'espace,Corrigé,194282,50838,73.8,3,3,790,790,OK,
02 - Activités Géométriques/Chap 08 - La géométrie dans l'espace/04 - Révisions/Révision - Chap 08 - La géométrie dans l'espace.pdf,Géométrique,08,La géométrie dans l'espace,Révision,152520,43457,71.5,2,2,630,630,OK,
02 - Activités Géométriques/Chap 09 - Repérage sur la sphère/01 - Cours/Cours - Chap 09 - Repérage sur la sphère.pdf,Géométrique,09,Repérage sur la sphère,Cours,146251,43402,70.3,3,3,616,616,OK,
02 - Activités Géométriques/Chap 09 - Repérage sur la sphère/02 - Exercices/Exercices - Chap 09 - Repérage sur la sphère.pdf,Géométrique,09,Repérage sur la sphère,Exercices,138504,37557,72.9,2,2,444,444,OK,
02 - Activités Géométriques/Chap 09 - Repérage sur la sphère/03 - Corrections/Corrigé - Chap 09 - Repérage sur la sphère.pdf,Géométrique,09,Repérage sur la sphère,Corrigé,145743,45396,68.9,3,3,735,735,OK,
02 - Activités Géométriques/Chap 09 - Repérage sur la sphère/04 - Révisions/Révision - Chap 09 - Repérage sur la sphère.pdf,Géométrique,09,Repérage sur la sphère,Révision,147791,44344,70.0,2,2,650,650,OK,
