chemin_source,classe,matiere,strate,chapitre_numero,chapitre_titre,type_document,taille_octets,statut
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 07 - Organisation d'un calcul\01 - Cours\Cours - Chap 07 - Organisation d'un calcul.pdf,6e,Mathematiques,Numérique,07,Organisation d'un calcul,Cours,161653,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 07 - Organisation d'un calcul\02 - Exercices\Exercices - Chap 07 - Organisation d'un calcul.pdf,6e,Mathematiques,Numérique,07,Organisation d'un calcul,Exercices,127430,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 07 - Organisation d'un calcul\03 - Corrections\Corrigé - Chap 07 - Organisation d'un calcul.pdf,6e,Mathematiques,Numérique,07,Organisation d'un calcul,Corrigé,146379,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 07 - Organisation d'un calcul\04 - Révisions\Révision - Chap 07 - Organisation d'un calcul.pdf,6e,Mathematiques,Numérique,07,Organisation d'un calcul,Révision,143033,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 08 - Proportionnalité\01 - Cours\Cours - Chap 08 - Proportionnalité.pdf,6e,Mathematiques,Numérique,08,Proportionnalité,Cours,176717,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 08 - Proportionnalité\02 - Exercices\Exercices - Chap 08 - Proportionnalité.pdf,6e,Mathematiques,Numérique,08,Proportionnalité,Exercices,123438,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 08 - Proportionnalité\03 - Corrections\Corrigé - Chap 08 - Proportionnalité.pdf,6e,Mathematiques,Numérique,08,Proportionnalité,Corrigé,132126,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 08 - Proportionnalité\04 - Révisions\Révision - Chap 08 - Proportionnalité.pdf,6e,Mathematiques,Numérique,08,Proportionnalité,Révision,149926,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 09 - Nombres décimaux relatifs\01 - Cours\Cours - Chap 09 - Nombres décimaux relatifs.pdf,6e,Mathematiques,Numérique,09,Nombres décimaux relatifs,Cours,178791,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 09 - Nombres décimaux relatifs\02 - Exercices\Exercices - Chap 09 - Nombres décimaux relatifs.pdf,6e,Mathematiques,Numérique,09,Nombres décimaux relatifs,Exercices,146754,premium
